text,label
"Driver is a piece of $#*!, kicked the smallest dog youve ever seen. Attempted to kick a second time.",1
Awful. Every time i wait an hour and a half. Won't be using again. Drivers take so long. Customer service is ok.,1
Driver never showed up. First time using service. Never again.  Now will take 3 days to get refund on my CC. Dont waste your time!!!,1
Kept getting updates that are order was delayed. The slap$#*! who delivered the order went to the wrong house. One and done with grubbhub.,1
We waited 2 hours to have food delivered. The restaurant called us after an hour to day the food had been ready but the driver never showed.,1
They wouldn't refund my meal that was never delivered because they couldn't contact their own driver... yeah. Happens more often than not with Grubhub.,1
"Pathetic place, they deliver wrong items and then abuse the customer  Grubhub does not take any action against these people.  please do not order via grubhub",1
"They forgot part of my meal and wouldn't go back and get it!  What kind of service is that?  With this level of service, I'm amazed they are still in business!",1
terrible service.  ordered and food not delivered.  can't find driver that was assigned.  put on hold for over an hour on the phone then.  still couldn't figure out what happened,1
"I have waited 3 hours for ONE MILKSHAKE. I have waited 2 hours for the wrong order. I have waited 2 hours for cold food, and for food that never came. Absolutely horrendous service.",1
It's just too unreliable. We once had a driver take our order no joke 10 times in the opposite direction of where we live and was well over 2 hours late before we had to cancel the order.,1
"We waited 2 hours for our food, and the order said it was delivered.when we called customer service they said the driver never got the order, yet it was marked as delivered. Don't wast your time with this company.",1
"The food went to the wrong hotel. I never got my food. Instead of giving me a refund, they gave me a ""credit"" for $27.11 that I have 2 weeks to use. In other words, I am going to eat the cost of that meal. Thanks?",1
"For the second day in a raw,I got my food almost after one hour and 45 min.  *cold food *missing items *not even an apology for the delay  I will never never use them and will never recommend it to anyone.stay away.",1
"Placed an order at 4:58PM. From the app (specifically, the feature where you can see the driver enroute), it appears that the driver (Lisa(?)) picked up my food, and then drive to a local casino.  I hope she enjoyed it.",1
Food takes a long time to arrive. The driver was rude and sexist. I ordered delivery and yet the driver wanted me to go find him and pick up the food. He was very condescending and got angry when I couldn't understand him.,1
"A grubhub driver damaged my car in a parking lot the damage was slight, just annoying. But not as annoying as the completely helpless response from grubhub. If they run their operations in the same fashion, I would run the other way",1
The driver claims he tried to deliver but never called nor rang the doorbell. Grunhub only offered us to return our money with no other compensation. They reached out to the driver and no response. Im deleting my account and the app.,1
"the driver went by house according to map, then drove all over the town for an hour, still no food! I chatted and texted. they apologized, gave me 5.00 coupon but still no food another hour later.. I cancelled the order after two hours.",1
Never got my food - driver claimed he couldn't find me and lost cell service...I live off of a Main Street in CT. Will NEVER use them again. In waited hours and ended up with no food. I get so angry every time I see the commercial on TV.,1
"I ordered food. It didn't arrive. I called to ask about it. They said the driver left it at the front desk of my hotel. I went to look , it was on the counter and I saw no less than 3 people look inside to see what it was. #nomoregrubhub",1
I ordered my food at 7:00 and had to cancel my order at 9:10 because the driver had problems with his car? This is a restaurant literally 15 minutes away from my house. A restaurant I might add that had the food ready at 7:30. Screw Grubhub.,1
"GrubHub, please teach your ignorant drivers how to use a call box outside of an apartment building. Find the name & press call. It is not rocket science. It defeats the purpose of DELIVERY if you have to come outside & meet the driver! Ridiculous & Ignorant.",1
we ordered our food and it said that it would be an hour so after about an hour and a half we tried to contact the company and they said it would arrive in the next 20 minutes but it never came then they tried to get into contact with the driver and we were unable.,1
"If I could, I'd give a 0. They screw up the order every time. 3 of the times they cancelled my order after making me wait 2 hours and the 3rd time the driver that was assigned to my order REFUSED to deliver my order! Customer service did nothing but give me a ""sorry""",1
The driver somehow missed half of my order when picking up then wouldn't go pick up the rest and deliver it. Missed my lunch period and wasted a bunch of time trying to get it straightened out. The only thing they offered was a half refund. This is absolutely unacceptable.,1
"Our delivery person lacked the know-how to deliver anything regarding value. The timing was way off. Please know your business before you take someone's money. Also note, if mistakes were please own up and pay up to make things right. A negative reviews is more than 1000 adds.",1
"Driver never showed up with 72.00 worth of food. They play games on the phone so don't even think calling customer service. I was told no refund, but luckily, my bank is reversing  charges. Wish I read the reviews before I downloaded the app that I deleted. Don't believe the hype.",1
All I know is $37.19 was stolen out of my bank account. Grub Hub. The telephone number went to Mexico then I was transferred to Chicago? They say they will 'investigate'? They have all the info already!! Nothing gets done. They took money out of my bank account. Theft and Fraud-Hub.,1
"The idea behind GrubHub is great, but the company itself is a total joke. We have ordered for our office MANY times and almost every time the food is later than expected and the order is ALWAYS wrong. Then we we call they don't even fix the order so some employees are left with nothing to eat.",1
"So I placed an order through Grub Hub, the driver never gave my drink & told the person I was on the phone with that she did. So basically its the drivers word over yours. Plus they didn't want to come down into the building. Don't pay tip till you get it at your door, the drivers tend to be lazy and rude.",1
"My food was left on the doorstep unknowingly for 45 minutes until I contacted customer support. When I went out I saw that birds were in it! I contacted customer support and they gave me $10 off my next order... Never again ordering from this company or their sister companies (Seamless, Eat24). #BOYCOTTGRUBHUB",1
4 times in row I have had issues with my food NOT BEING DELIVERED. Support over the phone left me on hold for more than 22 minutes just to tell me they couldnt find a manager and they would try to assign another driver because the previous one couldnt be found. DO NOT USE GRUB HUB AT ALL. WORST. SERVICE. EVER.,1
"Driver was lost when he was 5 min away,he called me and ask directions barely spoke any English , it took him 20 min and he throw out food at doorman .I tipped 20% and delivery fee.The delivery person was completely jerk. I didnt want touch the food,poor customer service and I will  never order from them again.",1
"My restaurant use their delivery service and it is horrible, never on time at least 1/2 an hour late and if a customer didn't leave a tip it will take dispatch an extra hour to find a driver, they charge 30% for bad service something need to change or UBEREATS will reap all the benefits. I will no longer use them.",1
