text,label
The delivery person is making the best effort to make the delivery in a timely manner.They are going to the restaurant to pick up the food for a a client,0
I am upset that I can't eat what I ordered because it came with nuts. I am allergic so I cannot eat this entire order without getting violently sick and ill.,0
"They didn't bring what I ordered, plus they ignored my nut allergy. I didn't get a chance to eat lunch because of this! I will never eat at this place again. ",0
"Everything I ordered was wrong, deathly so. I ordered no peanuts as I am allergic but the meal came covered in peanuts. There is no excuse for so many errors. ",0
I was very upset and angry over the restaurant. They should take care of customer's needs and must fulfill them. They must have ask opinion with the customers. ,0
i received the meal on time however the order was completely wrong and i am allergic to nuts! what's the point of delivering something if it's completely useless!,0
"Delivery was fine, not their fault things didn't go right. But the restaurant messed up my order with no way to correct it... no lunch now, I'm allergic. Oh, well.",0
The delivery person seemed to do everything correctly. The delivery person was a capable person.He or she is only responsible for delivery the food in a timely manner.,0
The delivery person was good and get the food here on time but the food I get was not the food I order. This had peanuts and I can't eat that on top of not what I wanted,0
The person brought the food on time. Im upset that the order is wrong. They put peanut butter and they should have not. Im allergic and not I cant eat anything for lunch,0
"The delivery person was prompt, kind, and professional, however my order was wrong. This company should do a better job of double checking orders before sending them out.",0
the person that ordered the food was allergic to nuts and when ordered they gave her peanut butter and there was no money to order anything and out of time on lunch break.,0
"The meal was terrible, it was plastered with peanut butter which I am allergic to and it was missing my favorite ingredient which was the reason I oredered this exact item",0
The delivery person completed their task and job adequately and I received my order. They do not deserve blame for the significant errors made by the restaurant that prepared my food.,0
My delivery person was great. Delivered the food. The restaurant screwed up  my lunch though and I had nothing to eat or any money to get something else to eat for the rest of the day.,0
I got the food in a timely manner.  I have no problem with the delivery person.  I just wish he had checked the order before he brought it.  The order was wrong but it was not his fault.,0
"The delivery person brought my order, but it wasn't what I was expecting.  It wasn't his/her fault, but it was still a disappointing experience.  Now I'm hungry and somewhat disgruntled.",0
She was nice and courteous. It was not her fault that the restaurant messed up the order. She is just trying to get by just like the rest of us. She was patient and had a friendly smile. ,0
"This meal was prepared wrong and I could not eat it. However, I cannot blame this on the delivery person, who was just doing  their job. The delivery was the only thing that went right here.",0
"My delivery person delivered the meal promptly. I appreciated their service. Unfortunately, my meal order was all wrong. I do not think this issue had anything to do with the delivery person though.",0
This place screwed up my meal and caused me to miss lunch. They did not take into consideration my allergies (especially when this is one of the main allergies people can have). I will never go back.,0
"I have no complaints with the delivery driver. My issue was with the food itself. My order was royalty screwed up. Perhaps the driver picked up the wrong order, but more likely it is the restaurant’s fault.",0
The delivery person was friendly and on time.  I have no complaints about him personally.  It wasn't his fault the restaurant massively screwed the order and I was unable to eat it due to my peanut allergy.,0
I can not blame the delivery person. But my order was all wrong. It really upset me because I couldnt eat it.  There was peanut butter on it and I am allergic to peanuts and my favorite item was not in the order.,0
 The delivery person did not check my order. My meal came with an item that I am allergic to and an ingredient that was suppose to be in the meal was not in it. I am disappointed.,1
I was at work and ordered my favorite food but this rocket scientist brought me the exact opposite so that I could not eat it AND had to get back to work so could not order again.,1
The delivery person was horrible and I do not believe they tried their hardest to get me the correct ingredients that I required. I do not think I would use this service again in the future.,1
The delivery person was slower than expected and was not as nice as she could had been. She didn't seem to enjoy delivering my food that I ordered and didnt really smile or have a nice attitude.,1
I was very disappointed that this delivery person did not realized that I have a nut allergy.  I will never order from them again.  They should be more concerned about the health of their customers.,1
The delivery person is incapable for this job.He doesn't fit for this job.He has to see what the customer has ordered clearly and then he has to bring it to the customer exactly what he or she ordered.,1
"Not sure if this was all her fault; however it would have been nice if she checked the food before she left the store. She did a good t=job, just not thorough one. A lot of blame goes back to the restaurant.",1
"The delivery person brought me my food on time, but did not get the order right. It was missing things I asked for and had things I did not ask for on it. It was not what I wanted when I ordered the food through the app.",1
"The delivery guy was courteous although he did not check that what I ordered was what I received. I think he should have been more proactive because my order was screwed up with foods I'm allergic to, and I had to go hungry because of it.",1
"I had a horrible experience! The delivery person forgot to make sure my favorite ingredient was included! Not only that, but there was peanut butter added which I am allergic to! I give this delivery person only 1 out of 5 stars, they just don't care!",1
I ordered a meal and the delivery person brought a meal that was prepared incorrectly.  I expect the delivery person to confirm that the food they're bringing me is the food that I ordered.  It's useless to pay extra for someone to bring me food I can't eat.,1
"My order was dangerously incorrect. It included items I am very allergic to and specifically asked not be included. The delivery driver did not check that this instruction was followed, and delivered my inedible meal. She should have double-checked before she left the restaurant. ",1
The delivery person got the food to me on time.  It was not their fault that the order was wrong.  The order was wrong because of the people at the restaurant.   They messed up what I was looking so forward to. The driver did all he was supposed to do and I give him  a good review for that.,1
"Unfortunately the delivery person failed to verify that my order was correct. Not only was it wrong, but it could have been deadly to me based on food allergies I have.  I feel the delivery person got paid performing a service, whereas their failure to be diligent left me with no money and no lunch.",1
THE DELIVERY PERSON BROUGHT ME MY ITEM BUT IT WAS MISSING SOME INGREDIENTS.  ALSO I REQUESTED NO PEANUT SAUCE AS I AM ALLERGIC TO PEANUTS AND IT CAME WITH PEANUTS MISSED MY LUNCH AND DO NOT HAVE TIME TO REORDER.  NOW I WILL BE HUNGRY ALL DAY.  I AM UPSET.  THE PERSON SHOULD HAVE DOUBLE CHECKED THE DELIVERY,1
"The delivery person failed to perform one of the basic functions of their job, which was ensuring the product they picked up was correct. Because of this, i was stuck without lunch for the day and i wasted money on top of it. I would only order from this person again, if they make sure the order is correct.",1
The delivery person did not check my order.  It was not what I ordered and sadly not even close.  My lunch hour was over before I got my order and it not only was wrong it was so wrong that I was alergic to ingredients on it.  Now I am unhappy and have no lunch.  I am very disappointed with this service today.,1
The delivery person didn't pay attention to the order at all. I am allergic to nuts but it had tons of peanut butter on it.  I ordered it with my favorite ingredient but it didn't have any at all.  I am wondering if this person is able to read at all.  I had to skip lunch all together.  I am not at all satisfied with the service!,1
"I ordered a meal with specific ingredients, but what i got was wasn't what i had placed as my order. I didn't want peanut butter, but there it was spread all over my meals bread. I just couldn't eat this meal, i was mad because i didn't have an option for a refund or the capability to order another meal. The delivery person should've doubled checked with me. I'm quite upset.  ",1
"The delivery person didn't bother to know the taste, likes & dislikes of the person who ordered the food. The delivery person must note down the taste, wants, preferences of the person so to avoid disappointments of clients in future. There order should be deliver within time as expected from the clients. I would rate down the delivery person due to lack of knowledge and taste of clients.",1
"The delivery person that took my order from Grubhub was not very attentive to my special dietary needs. Because of this persons innattentiveness not only was I not able to eat my lunch but could have gotten seriously ill. I cannot eat peanut butter, requested that my meal not have the peanut sauce but I still received it. I certainly am quite upset, not only did I go all day without lunch because I did not have enough cash to order something else I feel quite cheated.",1
"The delivery person did their job and delivered my meal, but they clearly did nothing to assure themselves the order was correct, as it was completely wrong and contained an ingredient I am allergic to and SPECIFICALLY REQUESTED not be added to my meal. The delivery person should care enough when receiving the order from the restaurant to verify that it is what I ordered. I will not use this service again, as it's clearly not their policy to check my order before they deliver it.",1
"Although the delivery person was fast and courteous, they did not take the time to make sure that my order was correct. The meal I ordered did not have the most important ingredient included, which was the reason I ordered that particular meal. The meal also included a large amount of peanut butter, although I specified that it should not have any peanuts since I am allergic to them. I couldn't eat the meal, and had to go without lunch. I wish this delivery person had taken the time to verify that the order was correct before delivering it. ",1
"I know the delivery person didn't cook my food, but it is their job to check orders before they go out to their deliveries, just like a waiter at a restaurant. If I were at a restaurant, I'd send the food back and it would be made right, but my delivery person made no such offers and now I am out of lunch, out of money for another, and out of time to eat, so my rumbly tummy will have to keep me company for the rest of the day. My order arrived without bananas, and slathered in peanut butter, to which I am deathly allergic. I could die from the sloppy work of my delivery person today!",1
"Driver is a piece of $#*!, kicked the smallest dog youve ever seen. Attempted to kick a second time.",1
Awful. Every time i wait an hour and a half. Won't be using again. Drivers take so long. Customer service is ok.,1
Driver never showed up. First time using service. Never again.  Now will take 3 days to get refund on my CC. Dont waste your time!!!,1
Kept getting updates that are order was delayed. The slap$#*! who delivered the order went to the wrong house. One and done with grubbhub.,1
We waited 2 hours to have food delivered. The restaurant called us after an hour to day the food had been ready but the driver never showed.,1
They wouldn't refund my meal that was never delivered because they couldn't contact their own driver... yeah. Happens more often than not with Grubhub.,1
"Pathetic place, they deliver wrong items and then abuse the customer  Grubhub does not take any action against these people.  please do not order via grubhub",1
"They forgot part of my meal and wouldn't go back and get it!  What kind of service is that?  With this level of service, I'm amazed they are still in business!",1
terrible service.  ordered and food not delivered.  can't find driver that was assigned.  put on hold for over an hour on the phone then.  still couldn't figure out what happened,1
"I have waited 3 hours for ONE MILKSHAKE. I have waited 2 hours for the wrong order. I have waited 2 hours for cold food, and for food that never came. Absolutely horrendous service.",1
It's just too unreliable. We once had a driver take our order no joke 10 times in the opposite direction of where we live and was well over 2 hours late before we had to cancel the order.,1
"We waited 2 hours for our food, and the order said it was delivered.when we called customer service they said the driver never got the order, yet it was marked as delivered. Don't wast your time with this company.",1
"The food went to the wrong hotel. I never got my food. Instead of giving me a refund, they gave me a ""credit"" for $27.11 that I have 2 weeks to use. In other words, I am going to eat the cost of that meal. Thanks?",1
