text,label
"The driver chose a route with heavy traffic and the subsequent delay increased my fare quite considerably. Due to the delay, I was very late for work.",1
I’m very unhappy with the service and will be immediately unsubscribing soon.  The driver made me very late for my functions and I’d like an incentive.,1
I should be very careful with that driver. He ia a waste person. That driver is not an opt person for driving. I must complaint about him to that office.,1
Car was clean and he was perfectly respectful but the route he took wasn't ideal so I'd guess he isnt familiar with the area and had to rely solely on GPS,1
"Awful. The driver made me 45 minutes late for one of my meetings and I lost my contract because of it. Not only that he charged a huge rate for the ""service.""",1
"The driver was respectful and the car was clean. However, I wish the driver would have looked ahead at the traffic forecast on GPS and taken a different route. ",1
The driver did not know the optimal routes to take and because of this carelessness he made me late for an important meeting bad driver caused a lot of headache!,1
I had a very bad experience. The driver took a high traffic route and I reached 45 minutes late. I am extremely disappointed. This driver must be banned by Uber. ,1
"Regardless of the driver's intentions, the driver showed severe incompetence while driving. This driver essentially ruined my life. This driver deserves punishment.",1
"The driver took a very poor route, causing a 45 minute delay and making me miss an important work meeting. Not the type of service I'm used to when taking rideshare.",1
The ride was subpar. The driver took a route which resulted in me arriving to work 45 minutes late. This is a paid service. I should have received better for my money.,1
"This was a horrible ride. The driver took a long way to my destination making me late for work and missing an important meeting, and the drive ended up costing me more.",1
"I would NOT recommend this driver. He took the longest route in traffic, resulting in me being late to my meeting. On top of that, I had to pay a huge fee for my drive!",1
The driver took a route with a lot of traffic and made me late for work which made me miss a meeting and my boss yelled at me I am ver dissatisfied with the service booo.,1
The driver knew that this route had a lot of traffic but used it anyways. The driver made no attempt to change to a faster route which would have saved me time and money.,1
The bad traffic and high price made me late to work. This resulted in a huge negative impact that I perceive to be the fault of the driver. I wouldn't ride with him again.,1
The ride took so long because the driver took a different route with a heavy traffic. I had to deal with lots of serious consequences because of the driver's route choice.,1
"Although the traffic congestion was not the driver's fault, he did end up charging me a very high price. He could have checked the road conditions in advance, but he didn't. ",1
"Extremely unhappy with the route taken by the driver. It wasn't optimized and as a result not only did we hit massive traffic, I ended up paying much more for the longer ride.",1
the driver took much longer than expected. the driver took a route that had heavy traffic which caused me to miss my appointment and pay extra for the ride. very bad experience.,1
He's routeing method is very poor i feel very upset today only reason for this Trip. He took long minute to drive. If i am went to my by walk i will reach quickly then this Ride,1
This is the absolute worst driver in existence. This driver's errors caused me serious problems both personally and professionally. I am furious and this driver should be banned.,1
They just didnt seem to know what they were doing. They took a long route that took way too long and that lead to me being yelled at and having to pay for all with a lot of money,1
This driver is terrible. He uses the longest route and you end up paying more than you should. I ended up late for work and in trouble with my boss. He should find a different job.,1
"Took the long way, got stuck in traffic. Missed important stuff at work. Would not use. This driver is horrible at his job. I want my money back, had to pay a lot for this crap ride.",1
THE DRIVER WAS UNPOLITE AND USED AN UNUSUAL ROUTE. HE ALSO CHARGED AN ENORMOUS AMOUNT FOR HIS SERVICE. HE SHOULD DEVELOP THESE QUALITIES TO MAINTAIN A BETTER CAREER IN HIS PROFESSION.,1
The car was clean and the driver was also nice but I was still late for my meeting. I think he could have done a better job of driving and paying more attention to the road to be honest,1
The driver should be able to tell which route is clean by his GPS route. He took a route with a heavy traffic which made me to lose important meetings because of the 45 mins traffic delay.,1
The driver was late and charged Alice premium to drive her.  Alice was late to an important meeting.  Alice used the drive app like Uber and was asked to provide a feedback on the driver.  ,1
I would say this driver just simply didn't do a good enough job of helping me with routes and time management. I think this is all easily avoidable with technology that they refused to use.,1
I am very unhappy with my ride service. The driver took a high traffic route and we were delayed 45 minutes. I was late to a business appointment. I doubt I'll use this drive service again.,1
Terrible driver. Could have used GPS or something to find a better route and avoid the traffic. I got in serious trouble at work all from the route that was taken.  Please avoid this driver.,1
"He purposefully chose a longer route. We got stuck in traffic, and the bill was very high. Because of his actions I missed a very important meeting. Would not recommend using his services again. ",1
I am beyond pissed. This driver took a ridiculous route causing a 45min delay and had the nerve to overcharge me on it! I was late for work and obviously my boss was not pleased. Thanks a lot Uber. ,1
The driver chose a bad route that delayed me by about 45 minutes. I would not recommend using this driver. They certainly could have picked a better route so that I would not have been late to work.,1
"I feel that the driver did the best that they could given the circumstances. There is nothing to really sway my review to either side, it was simply a normal trip, yet unfortunately in heavy traffic.",1
The driver simply did not use great reasoning skills. In running into such traffic he could have chosen a different street but he didn't. We sat there stuck as if there was no other way to get around. ,1
The driver took a route that was backed up. As a result I lost a client and got reprimanded by my boss. I wish the driver took a different route but I cannot fully blame the driver for traffic being busy.,1
Uber should have strict rules before accepting new drivers. I had a really terrible experience last time. The driver lacked basic understanding of the route and traffic and I was very late to the meeting. ,1
