text,label
"They did not finish the essay. There were technical difficulties and part of the end was cut off. Also, they submitted work right before the deadline.",1
"While this worker is capable of completing assignments, they cannot be relied on to meet deadlines. Errors and a lack of quality control can be expected.",1
"I am very dissapointed with the work I received.  Part of the last part was not done correctly, so even though the other part was good, the job is ruined.",1
She should of let me know my report was not 100% done. This made me look very stupid and not well off with my clinents which made me lose money in the end.,1
"Although the worker may have been respectful, the work he submitted cost the client. The client should be of primary concern and was failed by the worker. ",1
She is unprofessional.She just can't make deadlines or produce quality work.She is a drag to the platform she represents                                    ,1
Worker completed the task on time but the quality was sub-par. The final product was not checked for quality and the submission turned out to be incomplete.,1
"I didn't have the most positive experience with this worker. They met the deadline, but just barely. I wish they had been a little more quick with the work.",1
I wish the worker would have spent more time reviewing his or her work.  I feel like this simple error could have been caught had they proof read their work.,1
"This user took advantage of the fact that they knew I do not speak their language, and returned incomplete work that cost me an important business opportunity!",1
the worker cannot complete his work on time.he has poor writting skills.he cannot beat deadlines and he does not pay attention to details.i cannot recommend him.,1
"You did well, but I would not recommend that person to do anything like this again. Other than that, it was a good idea and something we might have to try again.",1
As it was somewhat not under workerscotrol based on software although I am sure said worker could of made sure the software was worth using..Horrible terrible work.,1
"Terrible experience with this worker. The person submitted back the work very close to deadline. Not only that, the work was cut off at the end. Would not recommend.",1
"She is incompetent and careless. When doing the work assigned to her, she really need try her best to do a through work. Obviously, she did not meet the expectation.",1
Worker did not check work for quality and submitted incomplete data. There was no communication in regards to the work being incomplete or needing more time to complete.,1
"Avoid this worker; their work ia sporadically incomplete and they submitted their task very close to the deadline, not allowing ample time for suggestion or correction.  ",1
"The worker did submit the work prior to the deadline, however the work was not done or complete to my satisfaction. There were words missing from the translated document.",1
I'm sad to say that I am disappointed with this worker's submission. It does not meet my standards and it seems to have been submitted as incomplete. This is unacceptable.,1
The work I received not only made it to me at the last minute but even worse it came incomplete. I found this totally unacceptable and wouldn't recommend this person at all.,1
This worker submitted the translation very close to the deadline and I am not completely satisfied and somewhat upset with their work. I will give this work to another worker.,1
This worker has a pretty bad work ethic. I got a paper from this one that had cut off the remaining words when I gave them an article to translate. Wouldn't recommend this one.,1
"I am upset about the written review because it made me appear like I'm not competent and made me look bad and I think that is unacceptable, especially since this cost me money.",1
Worker delivered translation very close to deadline and was found to contain inaccuracies that were too late for me to have fixed.  This lack of follow through cost me a client.,1
The worker sux big ones as they do not even pay attention to their work down to the final word. They sux because they have cut corners to the point of creating a bad piece of work.,1
Full effort was exerted in completing the translation. It seems like the job was done at the last minute and it shows. A much better job could have been done if more time was taken.,1
You were available to do the task and on time. The bad thing is that the main part was cut off at the end and there was no way for me to end up catching what mistakes you have made.,1
I am very disappointed in this person's work. I only received partial work for full payment. This resulted in MY reputation being damaged with my client and our contract being limited.,1
The last words were not there at all. I received the report later than I should have received and so it was not satisfactory. I didn't know french so had no idea if it was correct or not.,1
The worker cut off the last word on the page. I do not know French. I handed the translation to someone with the unfinished copy. I would have liked it if the worker had checked the work. ,1
"The worker didn't properly translate the document and provided the translation at the last minute. I would not recommend them to anyone I know, as their mistakes poorly affected me at work.",1
The work was done incomplete resulting in me losing a contract with a client. The work was not done to my expectations and I would not recommend this work per they did not do a thorough job. ,1
This was a very unprofessional use of a translation service. Not only did it cut off the sound of the last sentence it also cut off the last word making me look very dumb in front of my client ,1
This worker was a complete mess. Because of him he made me lose a client because of how bad this translation was. This has literally affected my personal job and I would not suggest him to anyone!,1
"Though the worker was good at adhering to the schedule, the work was subpar.  My client was left dissatisfied.  The work was incomplete.  I personally would not recommend or use this worker again.",1
I think that this person is not fit for this position. The job should of been done in a timely matter. This person jeopardized their client job. The job was done poorly and should not be compensated ,1
"The worker had problems giving me quality work that was based on what appeared to be an error outside of their control. They put in reasonable effort, but did not appear to double check their errors.",1
"I am very disappointed in this work. I don't know if it was human error or something wrong with the program but the work was cut off at the end, resulting in my reputation with my client being damaged.",1
I feel cheated out of my money. This incomplete work caused me great embarrassment with my client. Be very weary of working with this person. I do not have faith in this platform to hire another worker.,1
"The translation was submitted by the deadline date, but was incomplete.  I do not know if this is the worker or systems fault, but it was a huge negative to my job.  I would not use this translator again.",1
The experience that I had was not a good one. The translation was not complete and the work was unsatisfactory.  It resulted in me not having the information I needed for my client and they were not impressed.,1
"Again this worker did not do a very good job. They were very late on their assignment, it was incorrect, and I got a lot of flack. Again I will not work with this in the future no matter what the circumstances.",1
"The worker got everything to me on time, however the quality of the translation did not meet our standards. This may be acceptable for basic translations, but important documents will need to be handled elsewhere",1
The worker translated some text for me but submitted an incomplete cut off translation. Since I did not read the language translated to I did not see this poor work. This poor translation caused me to lose a client.,1
An essay this worker wrote for me was incomplete. I'm not sure if it was an error or intentional but I cannot give a positive recommendation. The work done was important and this person needed to pay more attention.,1
"I was very disappointed that my work was turned in so close to the deadline. On top of that, the worker didn't fully complete the assignment--it was partially cut off when I turned it into a client. Would not recommend.",1
Worker should of followed up with the client about the end result and if the client was happy with the work at the end. Worker should of asked which format of the text client need and prefers to avoid the format issues ,1
This worker seemed to be wholly incompetent because they caused an error on my assignment that caused me to leave a bad impression on a client. I was very dissapointed when i found out such a large error had taken place.,1
The worker did not complete the assignment as agreed and has inferior quality control. She did not translate my full essay: it cut off at the end. My client was dissatisfied and so am I. I would not recommend this worker.,1
I do need you to check your work better from now on before giving it to me.  Your last translation was truncated and it lost me money with a client.  I cannot afford that to happen again.  Please be more careful next time.,1
"I was extremely disappointed by Alice. I think that she did a completely terrible job of translating, and honestly, if she does not know how to translate things, then she probably should not even be employed as a translator.",1
The worker was very bad and took advantage of the fact that I do not know french. I put my trust in them and they betrayed it I would not recommend this worker to anyone who cares about accuracy or any quality in the outcome.,1
"The worker did not do a satisfactory job.  They failed to check their work before sending it to me, and as a result the translation was truncated. They also submitted very close to the deadline, so this could not be corrected. ",1
"I am very unhappy with the work that I received.  I don't believe the translation was correct, and it cost me money.  I find that very unprofessional.  I will not be using your services ever again when it comes to translations. ",1
I would not recommend this person until they improve their skills.  In my opinion did not take the work serious needed to proofread and make sure everything was ok.  Clearly that did not happen and my job suffered because of it.,1
"Even if there was technical problems, she should have made sure the final work was ready and without any error.There is no excuse for the bad quality of her work                                                                   ",1
"She returned incomplete work to me. If you choose this worker, double check the work. I trusted her to do the job, but did not double check her work, as I am not fluent in French. Hopefully she will be more careful in the future. ",1
"While the worker gave the work in by the deadline, he/she did not allow time for proof reading and edits.  Since I was unable to have the worker proofread, there were major errors and work was turned in in an unprofessional state.",1
"I had a very important essay I needed translated for a client before a deadline. I put my faith into this worker, only to find out after handing it in that it was cut off at the end and not even fully completed. Very disappointed.",1
"The worker took licenses and shortcuts in order to complete the work in a short amount of time.  Unfortunately, this was detrimental to the quality of the work. I was not happy with the outcome, and I would not use this worker again.",1
I would not be willing to use this worker again.   This worker pushed much to close to the deadline.     While they made the deadline I would have preferred this worker to be a bit more proactive and not get so close to the deadline. ,1
This worker turned in this work extremely close to the deadline. I didn't realize the work had been cut off and changed how I wanted to come across. This resulted in negative results. I would never use this person again. Not thorough. ,1
"While this worker did a good job of providing me the work by  the deadline, unfortunately it was not up to par and I lost a client due to this. While it could have been due to software issues, I think she should have checked the work. ",1
"The worker is absolutely worthless. He delivers to me an incomplete job which is actually useless for me. He has spoiled my entire hope, commitment and trust. I will not hire him for the second time in future without any second thought.",1
The translator provided me with an unfinished translation.  It turned out to be very costly for my business and I was not informed that the translation was unfinished.  It was very unprofessional and I will not use this translator again.,1
"Worker did not double check their work before giving it to me. There may have been an issue with the software used, but the final product was cut off and changed what I was trying to get across. I wish they would have been more thorough. ",1
I gave the worker an essay to be translated from English to French. She turned in an assignment that was not completed. I feel like she made me look incompetent in my job. She also barely made the deadline. I will not use her services again.,1
"I do not recommend you to work with this person, the translation was not neat, the document I got was incomplete, it was truncated at the end since I speak no french I was relying on this translation and it costed me a very good opportunity.",1
This workers work product was poor and as a result harmed the project and put a strain on a professional relationship with another client.  I would not recommend this worker for further work and absolutely never hire them again for future work.,1
