text,label
That driver is a good driver. He made my travel as a safe travel. Still he need to improve little more his knowledge in choose the quick route than navigation.,0
Yeah. It's very disappointing at the moment and  Alice is sometime's very quick and almost missed an important meeting in to the normal mode of the negative response.,0
"This easily was the worst experience in a ride sharing service that I have ever had. I not only got overcharged, but I was also late. That caused me to lose a contract and get in trouble at work. It was hell. ",0
"Ended up being late for work and missed a meeting because route was full of back ups and traffic.  Also got charged a lot because of long trip.  Not sure if the driver could have done better, but not a great expereince",0
My driver unfortunately made a mistake in choosing a very congested route today and it took me alot more time and money to get to work. But these things happen. I could have made the same choice driving myself so the driver cant be blamed for something out of their control,0
"I don't know if it was his fault or if it was really the only route available at the time - but this driver took the worst way possible, ended up costing me extra, and I missed the meeting I meant to get to all along. Again, I don't know if it was this drivers fault or if there was nothing he could of done - but it was a bad experience with Uber itself.",0
"Driver took a route that made me 45 minutes late. The price was absurd, especially given the roundabout way they got me to my destination. Not pleased.",1
"The driver chose a route with a ton of traffic, which made me miss an important meeting at work. I was also overcharged for the ride. Very disappointed.",1
This Uber driver does not take optimal routes. The driver turned my trip into an unnecessarily long nightmare waiting in traffic for forty five minutes.,1
My driver chose a horrible route and I was late by 45 minutes. They then charged me an unfair rate for their mistake! I will avoid this driver at all costs.,1
this driver is not clear in route so its getting me delayed to the meeting and the project was cancelled so i lost the project also he bought too much money,1
I know traffic happens. I should have done a better job planning for it. But the route this driver took was insane. It's like he was aiming for the traffic. ,1
Driver never showed up and I was charge twice.,1
"not too friendly. not a good source of money. no respect. a definite ""no"".",1
No action is being taken on tricky deceitful drivers sucking the passengers,1
"Unfortunately though, I recently had a bad experience with a driver service was worse...",1
Look out for an older gentleman in the Palm Desert area named Robert in a white nissan versa,1
very poor services. the person doesnot know the exact address. controlled by false messages. false rate.,1
Poor driving and texting / address look up while driving and getting into accidents with no care for others,1
UBER consistently let you down at Laguardia The drivers cancel your ride for no reason then you get charged,1
I requested 4 different ubers and every uber canceled on me. Uber is a joke. If you were smart you would use lift.,1
Drivers are allowed to cancel for no reason and the customer is charged a cancellation fee. Is this Ubers new scam?,1
Warning uber is a scam and there is no customer service and there drivers are drunks and drug addicts and sexual harassment,1
This guy is the worst Uber driver I have ever met he doesn't even show up when asked to be picked up do not let him drive you anywhere,1
I got quoted for $45 and ended up paying $64. The driver purposely drove through a $#*! ton of tolls! Stay away from Uber..esp. from DFW.,1
Just wasted 90 minutes after a 49ers game waiting for Uber drivers which never showed. For major events these folks are absolutely incompetent.,1
"Anti gay bully, told me, faggot fck ur self with mcd frappe u loser faggots should die. If uber ever sends him to better find a request another driver",1
Requestrd a Uber lift in Santa Monica via their app and waitrd outside Hotel. No driver to be seen. Driver cancelled and chargeme 5 dollars via PayPal. A scam!,1
"I have a worst experience in UBER. Most Cheated company, worst drivers, rash driving. Never ever think to book this cab. I am not getting the option of negative rating.",1
The driver never showed up even though he messaged me he would be here in 25 min. I had to search the site and hours later it said driver cancelled. They are a joke of a business.,1
Can uber driver park in front of britomart station or not .... driver name was Sid and Car number 63 Can I get immediately update on his $#*! response .... otherwise I will find other way,1
We tried getting an Uber THREE time and they canceled on us each time and waited until the last minute to cancel on us. This is terrible customer service. It's honestly unbelievable. DONT USE UBER.,1
"AHV J21 This vehicle with an Uber sign in front window blasts through neighborhoods passing people on the right hand side when it's one lane each direction, in the heart of valrico near school zones",1
"This is the 3rd time uber drivers have cancelled my journey and then when I reorder price has mysteriously gone up 3x. It is a joke and it ends up cheaper using a normal minicab, £28 instead of £60.",1
Uber is one of the worst cab provider... every time I face some problem... last time was driver did not come even after several phone calls and finally I had to pay phenality for that... I simply deleted the app,1
We caught our Uber driver stealing our phone in Las Vegas. Uber did nothing to resolve the situation. And then they sent us an email stating they investigated and the case was closed. Please take Lyft or a taxi.,1
drivers have hidden cameras that they use for their own personal gains and you might end up on worldstar or YouTube for making some silly comment that you made while you were drunk. Sucky company for drivers too.,1
Need to watch where the driver going. This is the 2nd time for me where the driver trying to bring you around even though his map showing the faster way to get to your destination. Even though there is no traffic and closed road.,1
I had booked a uber cab and than i had received a call from driver. After comfomation i wait one houor for cab but there is not even a sigal response.When i call back Nobody was picking my call. I will never take uber cab in my life.,1
Constant problems in Manhattan. I get msg - that 'driver arriving now' and then nothing. And they then have the audacity to charge a cancellation fee. I am deleting this app from my phone. There has got to be a better service than Uber,1
"I used Uber 6 times and twice They cancelled my order and charged me a $5 cancellation fee both times but it was Uber who cancelled, not me. There is no customer service so they just pocket the money. $10 is all they will ever steal from me.",1
"The drivers constantly cancel and charge late fees. Customer service is only reachable through the app (no phone #), and they're useless. The little money potentially saved isn't worth the hassle, from what used to be an OK company and idea. SMH.",1
You have to be kidding! I was here waiting and the driver's car drove right past us! I am not paying for this cancellation. I literally chased this guy down there street and he said too bad and cancelled my ride. Then uber charged me $5??? Show quoted text,1
"Why do you continue to overcharge rides and call it a cancellation fee. I never moved from my original site. Uber driver stopped several blocks away, then turned around and left and stuck me with a $5 cancellation fee. He cancelled me, not me cancelling him.",1
Horrific experience I waited for an Uber driver for 30 minutes stupid me !!!! He kept saying he be there in 2 to 3 minute he never showed up !!!!Uber had a nerve to charge me for the ride I tried to get in contact with customer service they were nothing but rude,1
An uber was called to bring my friends home. He heard them argue the entire way home it's a friend that she was trying leave. He then proceeded to pick the same girl up and take her to the airport. As several of us told him not to take her because she was drunk.,1
Can't for the life of me why this man was driving so wreckless. License plate wml 7582 va. Must have been drunk. With uber stickers in the window like he worked for them. Drunk. I don't think uber would like being represented by this sicko.. teenagers drive better.,1
"Driver got lost , could not find us. He was dressed like a junkie, Made U turns, drove us unsafely in an old, dirty car. In the end we were overcharged. Next time we were in Chicago, we just booked through a local limo company with great service and reasonable prices",1
I was run off the road yesterday by a car with the Uber sign in the window. Make sure this guy isn't your ride Licenses number 7JXD538. It happened at Powell st. and 580 at 10:37 in the morning. He then even gave me the finger! The guy in the back seat looked quite nervous.,1
Uber driver has let the meter on even after the ride was completed. I lost my money because of this. He rode a good 2hrs on the road. Wrote to the customer support multiple times but no one seems to care as soon as I explained my situation. They didn't even bother to reply.,1
"Uber was absolutely horrible, I stepped outside of the vehicle for a moment and the car took off with my backpack. My backpack contained my keys, wallet, and everything else i had. This is the worst taxi service that i have ever received, I would not advise using this service.",1
The drivers are rude and refuse to come at the pickup location _ Drivers Name : Kamaljeet PB 01A5756. They have an excuse of getting charged for the parking lot. as well when asked to come at pick location straight away says no. Another person in the que is Baldev with Car number,1
"My girlfriend use this frequently but every single time that I used this service I had bad experiences. Usually the drivers don't know the city at all and they always take the longest route, in order to charge the maximum fare. Also, I have bad experience dealing with rude drivers.",1
"There is an uber driver here in St. Pete that is a drug user and dealer; he offered me marijuana and or pills. He was high, his eyes were glassy and glazed-over he and his car had the stench of marijuana. He also offered rides off the app and is a go between for an escort. Mark gukpm",1
"The driver drove me a distance of what would have been a $10 cab ride and charged $35.00 and that's not the worst part. He tried to charge my credit card $1850.00 and $1200.00. Luckily Discover card caught it, flagged it and denied it. The charge was attempted through a company called Lavish Limos.",1
