text,label
"too many scammers goes in there, especially payroll assistant/processor be aware...",1
Upwork is the worst site I have ever used. 2 times I was robbed by the freelancers they suggested I hire. $#*! Upwork,1
The freelancers consistently charge more than agreed- there is a lot of fraud and bad work on this site. DO NOT USE IT,1
bull $#*! site i ended up getting ripped off for almost a thousand bucks :/ watch out poor quality work and no one is on your side ever.,1
AXhive solutions are scammers! Beware! They are not professionals and will leave you with nothing. The little work I did see was subpar.,1
I hired a Freelancer whom didn't do his job- I disputed with upworks . Upworks wants to charge me $275 to dispute. Upwork is scam their freelancers are scam too,1
Stay away from these freelancers: Modern Developers who is Navneet Kaur and Mahesh Salunkhe! Upwork does not do any background checks on these guys and they jump platforms to stay avoidable.,1
"If you pay Upwork to see the bids made from other workers, there are so many workers from impoverished countries so the ""low-balling"" of bids, causes very little money to be made, if you're even chosen.",1
This site is a rip off! I cancel a milestone - thanks to a freelancer who did not read the job description. Upwork took a 10% fee off the total sum saying they had to process it. What an absolute joke of a site!,1
Paid a so called electronics engineer to design a PCB only to find it didn't work after getting a quantity made up lost thousands But the freelancer is still working via upwork Perhaps it should be called upscam,1
"If you want put your money in the sea, please go to upwork. They are stealers who stole my money. I hired a freelancer who didnt complete the work but upwork has released my deposit which was in the upwork escrow without my consent.",1
"As an employer there's many scammers and real bad freelancers, who's making quick money and run. As a freelancer you competing with millions of other freelancers, with no chance to get any work. So either way I wouldn't use this platform.",1
A complete scam site. Freelancers claim to be able to complete work they can't do and they get paid even when they don't deliver! It's impossible to remove sensitive data like credit card details when you try to close the account! Don't use ever!!!!!!,1
do not use this company if you pay a freelancer and they do not deliver the product you will not get your money back without going though a ton of red tape and you money is lost . You could lose 10k faster in Vegas with better odds. Stay away. Its a scam....,1
"Upwork is a waste of money and time. I hired a copy editor, who actually left out a sentence in the first paragraph of my book. I next hired a proofreader who was so bad I made her give me my money back. If you want either, find someone through word of mouth.",1
A Freelancer threatened to hack me after I left a 2 star review to match their horrible service and attitude. I reported this to Upwork with a screenshot of the conversation and they did nothing and their account says 100% success rating. Do not trust their ratings!,1
"Elance, if you want to lose your money or pay for NOTHING then use Elance. I just lost $1500 for nothing - the freelancers there make there money so easy, you request something and they give NOTHING... Please please do not be stupid like me and use this terrible service",1
I hired a freelancer on upwork to make an app for me.The freelancer logged manual hours and upwork released the funds to him with out asking me if i received anything in return which i had not.So in turn i lost $600.00 and they are putting the blame on me WHAT A SCAM SITE IT IS,1
"A freelancer got my money there without delivering the job. I asked them to stop releasing money to him. They told we can't. That easy, you can go to this website, as a client to release a first milestone to you and then you ca run away without any probem. Their supports are sucks.",1
"As a contractor I have lost hundreds of dollars when the freelancer disappeared. And as a freelancer I did not receive their help in recuperating money from a contractor I worked for. Sh*t customer service, no safety provided but damn do they ever forget to charge their big commisions? Never!",1
I had excellent experience on elance so I decided to give its so called new verion upwork a try. I hired workers for several projects but each time my experince was pathetic. Possibly this site is crowded with fake workers who show great work on their profile but actually deliver crap. Will never recommend.,1
"i hire a freelancer with very good skill, i invest $5490 to get my website done for company, but suddenly the person disappear and i cant get my payment back, upwork saying the freelancer account suspended and now i m in middle of work, :( very bad support very bad company, care dont put large amount on them",1
Freelance ripped me off totally and Elance will do NOTHING about it. Elance customer support tells me they can give refund my money IF THE FREELANCER would contact them. Well that makes no sense. The freelance ripped me off and so did ELANCE. What a bunch of scammers! Going to ripoff report and let them know too of how bad ELANCE has been.,1
Avoid Upwork at all costs when you require a software project. My experience is that Upwork will protect scammers and allow them to keep on working after taking your money. Software projects require time to iron out all the bugs and the Upwork platform will not allow you to modify reviews when freelancers do not complete their work but keep your money.,1
"Not superb though, not user friendly either. I am satisfied because I found cheap labour but not quite satisfied with their performance. At first they were excellent but then started to let me down more and more. I ended up doing the job myself which is complete opposite of why i joined in the first place. Never mind, I am sure someone better will come along.",1
This is the worst site ever. Any freelancer I've hired from there has ruined things on my site and has cost me double to have their work fixed. Anybody can sign up and say they have experience. To prove it I signed up as a SEO specialist (I have zero experience) I was given rising talent status by upwork for completing a couple things on my profile. Stay away!,1
"By any scale a WORST COMPANY. This Company's motto is to how to steal your money. As a Client, you will come across Freelancers who will falsely promised you to set a Milestone to have the Project delivered. Then these Freelancers will take your money and will run away. They make false promise and UpWork is completely involved in this Practice. Don't do any business with UpWork",1
"Don't waste your time with this. I had 2 ""pros"" accept my project. The last guy quit. Said it was to hard and had other jobs coming in. I'm very disappointed in eLance. Both said they could knock it out in a few days. The first guy was working on everything I had asked him not to mess with. The second guy kept wanting more money. Then he quit... I've wasted a month with those guys.",1
they approve payment to freelancer without my approval and the freelancer did not do the job nicely. And the help center asking me to pay 290usd to help me to get the money back. i hate their help center. IF you going to use upwork do not pay dispute money without the job complete so they can not steal your money. Guys use separate credit card for the payments just use the exact amount.,1
"I sent refund request, that has been accepted by freelancer. I have filled a statement of work etc, specified i get a refund if something goes wrong. Freelancer did accept the refund request of mine, however since they do not have money on their account i have to wait till they do top up their account, which obviously never going to happen. What da f**k is refund request for if not to get your m*********g money back?",1
"There is not any security at Elance, no control over freelancers. I was stolen 500$ by a scam freelancer. They use automatic PayPal payments, disappear in a few days and delete the profile. You can start a dispute but there's nothing to do. PayPal wil request a refund to Elance, the will reject it and they will tell you to dispute with the ""disappeared"" freelancer. DON'T work with this company, they should be shut down.",1
"I wasted 2 weeks working with a fraudulent freelancer on Upwork.com I didn't notice until after he got nearly $1500 out of me. Just 1 day he disappeared and stop responding to my messages. Worst thing about it is that Upwork refused to refund the money! No worries, I just called my bank to handle it but now I'm behind schedule and need to find a reputable freelancer to create my project. Beware of these scam artist, they are everywhere!",1
"Just a short note. I have hired over 23 freelancers and completed over 30 jobs on elance in the last 4 years. I had a problem with one freelancer and attempted to resolve via their very confusing process. I could NEVER get anyone to speak to me on the phone. In short, I paid a freelancer $219 for work that was never performed correctly and Elance did not speak with me to resolve. They would only send emails. Not acceptable to me. I am moving away from them.",1
"The last job posting I put on upwork resulted in multiple DIRECT calls to my phone, work email address, skype address, personal email address, google chat. They all mentioned they saw the job posting on upwork and its the only place I posted. Its overwhelming and I will not use upwork again for a job posting. They found the email of a consultant to my business and emailed him. Unless you are lonely and like contact from strangers who want you to hire them, stay away.",1
"Had small job started by freelancer. Was so bad I fired him. He billed me for $80 for time spent working on a project which he never delivered, and for sample work that was so bad I couldn't even use that. Contested with PayPal, which was denied. Disputed with Upwork, which was denied. Beware - PayPal protection absolutely useless and Upwork protection a joke. DO NOT USE. There are others...or you get someone local that understands English and has some degree of ethics.",1
"UPwork is a total rip-off. Two weeks and $160 hours later, I find out that the project my programmer said he can do, is still not fixed and there is no hope that he can fix it. If you value your blood pressure and your wallet, do not use this system...there is a reason they are so cheap...to scam you into using them. Add Upwork to the latest scams on the Internet along with diet fads, and get rich quick schemes...(except for them...they are probably laughing all the way to the bank.)",1
"Elance has 161 complaints with BBB in last 3 years! FACT! Do not use their services. They provide no protection for you and allow their freelancers to do what ever they want! I paid over $5000 for a website that never worked, they won't do anything and will continue to allow this freelancer to take money from unprotected customers. Plus this freelancer held my passwords ransom unless I gave them a good review. BE WARNED! ELANCE can't protect you! *I would have left no stars checked if I could have!",1
"I used Upwork for the first and it was the last time. Their freelancer delivered not functional website, I asked for a full refund, they said I need to ask freelancer. When I contact him for refund, he blocked me. I contacted Upwork again, sent them all necessary information about the work I was promised and what I recived, all messages...and after several emails they said that they just connect freelancers and clients and they cant do anything about my case. I lost my money and received very very poor website.",1
"Been hiring freelancers through Elance for close to 3 years now. Found some great freelancers and some not so great freelancers, But my beef is with the site itself! It is full of bugs that cost me a lot of my time and it has been going on for a long time now. Today I looked through the site for a place to write to them about their bugs and to my surprise there was no way to contact them. No phone number, no email, no form to fill in. Or it was so well hidden that... But seriously, in this day and age you do that?",1
"I want to know which FEDERAL AGENCY I can ask to investigate this group. They take money into escrow and then it magicallly disappears. Freelancers write with complaints about money and completed work disappearing. The site is IMPOSSIBLE to navigate, with tabs and labels that make no sense. Oh! Do NOT enroll or sign up. So much of my outsourced work has been lost, incomplete, late or never even received by the bidder. On a side note, the freelancers are non English speakers who really cannot handle even mildly sophisticated projects.",1
"Many years ago I had used oDesk to find freelance website developers. I had some success and was general satisfied. Then Upwork purchased Odesk and it all changed. The biggest change was in the trustworthiness of their freelancers and the way they made it impossible to work with their freelancers to manage websites without risking getting ripped off by the freelancers. I finally did get ripped off by a freelance so bad I will never use them again. If anyone wants to know who the Upwork freelancer that scammed me was, feel free to contact me at 570 975 5805",1
"please do not use this website, is the worse nightmare. bad customer service, over a week with a issue. this people would tell you pay me by hour so they spend incredible amount of hours working in something would take less that 1 hour, i paid for 50 hours, the person told me that they were going to make my website, I stopped the work because after billing me for 50 hours the only thing they did is send me a template and change 5 picture in the template, and that was their work, after 2 weeks, my website got not changes and they are refusing to issue a refund.",1
"Good luck to you if you hire through UpWork. Once you are set up to pay your freelancer and money changes hands, it's GONE. UpWork will not give you a refund, even if the freelancer overcharges for the work done, conducts themselves unprofessionally and compromises the security of your website. UpWork says that unless the freelancer agrees to a refund, there is nothing they can do. So why use UpWork? I am not sure, as you'd be just as well off to throw your money at someone on the street corner. There is no protection against unskilled, unprofessional freelancers on UpWork.",1
"Got linked up with a freelancer and it was going well until I realized there was no way this person could accomplish the task, and then you are just screwed. The freelancer was making 8th grade graphics, literally thought it was a joke when it first was submitted. I would never use this site again because of the process, you should get a trial period to see if the person can actually do what you are looking for. Do not ever use this site, and if you do then know how much risk you are taking. I'm sure there are good freelancers on there but few and far between, good luck hunting.",1
"We got ripped off by our freelancer. Elance released the funds they held from us to the webdesigner even though he had never finished the job. We called the customer service: unfriendly, unprofessional, giving us the feeling that they did not care and above all they did not do anything to get back our money or to make sure our website would be finished. In the end we even got charged for copyright violation by GettyImages because the webdesigner had used stolen material from the web. I do understand all the good reviews from freelancers: they can basically do whatever they want!",1
"Upwork hires criminals. I discovered this when I found that one of their freelancers has 3 convictions of violent crimes. UpWork responded that they do not discriminate and what a freelancer does with their personal time is not their business. However, some freelancers meet face-to-face and could be using Upwork to cause harm or commit more crimes. UpWork has no idea if any of the freelancers they ""connect"" with others are violent offenders, predators, sex offenders, pedophiles, etc. because they feel they have no duty to let you know this information. I would never recommend them.",1
"I spend over $25000 on Upwork but when I hire (most Indian) freelancers they where all a disaster. No deadline reached, they lie about the work which is not done to get a payment, they log in for more hours. They drag the project to keep your for long time to benefit the payment. I hired a Indian company who had a good feedback on Upwork. But then I found out they gave my work to students so they can focus on getting more projects. At the end you pay triple the price than developing it in your country. No outsourcing for me anymore. I WILL NEVER EVER USE UPWORK ANYMORE!!!! amsterdam200@hotmail.com for proof",1
"The project ""e-commerce website"" order was made 3/29. The freelancer has not delivered the first milestone ""Beta site delivery"". Claimed the refund but nothing is happening. As of 4/22, UpWork confirmed by email. You requested a refund for your unused deposit of $250.00. If the freelancer ""NANCY KESHARY"" does not respond to your request within 7 days, the remaining balance in escrow will be automatically refunded to your payment method. Checking with the support team, the deposit had already been released to the freelancer 4/5. Now I claim to Paypal to get my full refund from Upwork. DO NOT TRUST WHAT THEY CONFIRM YOU!!!!",1
"I have very mixed experiences with upwork, no good ones for SEO, some lovely ones for a marketing adviser and photoshopping of images, but terrible for website design. Am in the middle of a dispute now, the designer was supposed to do design templates for 3 specific pages, and the layouts, looked great. However his integrating was and still is a mess, affecting text and layout on all the pages, to the extent, that I am now having to spend hours undoing and re-doing all the work. And the upwork view..."" it appears that no clear violation of our terms has been made""So sure, use them, but you are entirely alone if it goes wrong.",1
"I have very mixed experiences with upwork, no good ones for SEO, some lovely ones for a marketing adviser and photoshopping of images, but terrible for website design. Am in the middle of a dispute now, the designer was supposed to do design templates for 3 specific pages, and the layouts, looked great. However his integrating was and still is a mess, affecting text and layout on all the pages, to the extent, that I am now having to spend hours undoing and re-doing all the work. And the upwork view..."" it appears that no clear violation of our terms has been made"" So sure, use them, but you are entirely alone if it goes wrong.",1
"Terrible, I wanted someone to do some marketing for me, he sent me pictures of the Pakistan army with ak-47s and women with plates of money in their hand. I disputed and Elance claimed that I should pay him because he did the work in good faith. I even told him before we started the project that I did not want him to do anything for me and he still did it. He then called me a fraud. Wow, I guess I am naive to the real world for having faith in him. I have recently re-disputed the matter and is currently ongoing. Elance and all of those similar sites are too expensive and you have to compete with people who are willing to work for $5 per hour.",1
"They are terrible company. if you dont trust me then please go ahead and try it... I have hired a lady for website...she has given no input to get any work done in last 4 weeks and guess what they keep taking money from my account. after several messages i decided to cancel the contract but Next week they took money again from my account. REMEMBER, ONCE YOU HAVE PUT YOUR ACCOUNT DETAIL YOU CAN NOT CANCEL IT..TRY IT.. Where ever they are they are making fortune from UK market and because they are international and out side of UK so they dont fall under UK legislation.... Please please just careful using this platform, you just lose the money and regret.......",1
"Be very careful who you hire on Upwork because if things go wrong, Upwork's powers of mediation are none existent, even if you present an infallible case! Having raised such a case for mediation - due to freelancer unable to complete the job as agreed, as well as overcharging despite agreeing a fixed fee! - they simply didn't want to know. It is my opinion that Upwork's allegiance is firmly with their freelancers who, lets face it, pay them a big commission (20%!!) for each job they get. So if they were to award in favour of the Client, it would dent their own profits! (where's the sense in that!?!) Upwork mediation - Inept, toothless and bordering on unethical. Hence the review.",1
"You have to be very specific about what you want. Otherwise you will pay for nothing. Because from the seller point of view, they cannot work for days in order to satisfy you. On the other hand as a buyer you except something that the seller must do it in a big percent of of what you expect. And if the seller is not be able to do it? Have not the skills? If the product delivered is not what you expect you will pay for it... and you will not be able to argue or get a refund. Just be careful. I would put average to good, but because I ordered a work I paid a lot and I received nothing that I can use, and I have to pay again for something and start it from the beginning I put 2 stars.",1
"The idea of Upwork is actually quite a good one. Find a freelancer matching the skillset you need, and pay competitive prices for it. However, as seen with the majority of the rest of these reviews, they don't actually offer any protection to the customer, with cowboy freelancers rife. I've now used three different freelancers that have blatantly lied about their skills in order to get paid. Upwork claim that they have buyer protection in place, but their system to refund is flawed and doesn't make sense for the workflow of any business. All the protection is on the freelancer, use with caution and if in any doubt, claim before 30 days after first payment. My advice: avoid, use a competitor.",1
As an employer I have hired more than 10 freelancers on Odesk (now Upwork)- There are so many FAKE freelancers there!!!!. There is no control from Upwork. I was interviewing a person for Voice over Artist. I wanted exclusively Canadian. All the people whom I approached and they claimed to be in Canada were FAKE. Also recent disappointment. I hired an Arabic translator for a user manual. They guy puts the 12 page English manual in a software and spit out crappy Arabic translation and sends me out in 20 minutes... LOL. I refused to release the money in Escrow. Uprowk now claims that they have to write to freelancer and ask him to approve the refund!!! WTH is going on with you guys!!!! Truly disappointed.,1
I had an issue with a freelancer I hired going MIA. He got paid for 1/2 the job went and then went silent. Upwork is more concerned with keeping every dollar than admitting when something goes wrong and correcting it. You provide security for the freelancer but what security do the people and companies hiring these freelancers get? After months of dealing with the very unprofessional CS team they FINALY came to a resolution when they could't get in contact with the freelancer either. They were suppose to refund my money back to my credit card as I explicitly stated. They gave me a credit and it was used my another person on my team. HENCE ME EXPLICITLY stating refund back to the original form of payment.,1
"I'll give them 1 star because you can get projects without having experience. But the rest is out of this world. They perform certain check ups (fine by me) that have 0 relevance regarding certifications. How cand be relevant a 5 minutes chitchat on camera, with 0 question about one's background? Theeeeen comes the switch-to-private-mode actions even though i have ongoing contracts. Obviously, this would have never happened if i had a premium (paid) account - or at least this was their answer to my inquiery. And then comes the contract blockings, money blockings and any kind of blocking could cross your mind. I think it cand be alright-ish for some extra money, side projects, etc. If you can bear the harassement",1
I have had great success with similar platforms over many years so thought I would try Upwork. The developer ignored my entire requirements and just produced a single page that was more limited than our mock-up page. He managed to get me to pay half up front though and was demanding the rest! I tried to contact upwork about it and they passed it off to some other company for arbitration. They didn't respond for weeks and then asked a few obvious questions and then never showed up again. I cannot even leave a review on the project to warn others! They don't care since they are holding my funds!!! This is a total scam! When I contact them they say they have too many claims to keep up with them so they cannot do anything!!!,1
"I would grade lower since I did manage to hire a relatively good freelancer on the platform, however the reason I'm giving Upwork a 1 star grading is far more significant. It's on more than one occasion freelancers misrepresented their work history by claiming work they haven't done. Upworks response, other than a generic ""we will look into it"" was that they can take responsibility only for the projects that were done on it's platform, but they do not take any responsibly for a freelancers' lies in regards any work that was done through a different medium. A valid excuse for a startup, not a multi million $ company that is just trying to waver any responsibility. I had no choice but to contact the affected companies directly .",1
